,place1,place2,flow,load_rate,max_flow,origin_flow,date
18,DC23,DC3,5300,0.10123197402349346,52355,0,2023-01-04
19,DC25,DC9,12700,0.10077199552512357,126037,1,2023-01-04
20,DC25,DC4,5100,0.10013351134846461,50932,0,2023-01-04
21,DC36,DC3,6100,0.10021356990307212,60870,0,2023-01-04
22,DC36,DC8,5400,0.4575295668479976,53861,19243,2023-01-04
23,DC44,DC9,12500,0.10043468130066929,124459,0,2023-01-04
24,DC47,DC12,7200,0.10124873439082012,71112,0,2023-01-04
25,DC48,DC9,6300,0.10003493283368796,62978,0,2023-01-04
26,DC51,DC9,26250,0.10045267222016017,261337,2,2023-01-04
27,DC4,t,10200,0.0,0,0,2023-01-04
28,DC8,t,11200,0.0,0,0,2023-01-04
29,DC27,DC8,5800,0.10164382601380954,57062,0,2023-01-04
0,s,DC14,38500,0.0,0,0,2023-01-05
1,s,DC15,13200,0.0,0,0,2023-01-05
2,s,DC17,5000,0.0,0,0,2023-01-05
3,s,DC23,5300,0.0,0,0,2023-01-05
4,s,DC25,17750,0.0,0,0,2023-01-05
5,s,DC36,6100,0.0,0,0,2023-01-05
6,s,DC44,12500,0.0,0,0,2023-01-05
7,s,DC47,7200,0.0,0,0,2023-01-05
8,s,DC48,6300,0.0,0,0,2023-01-05
9,s,DC51,26200,0.0,0,0,2023-01-05
10,s,DC27,5800,0.0,0,0,2023-01-05
11,DC3,t,16400,0.0,0,0,2023-01-05
12,DC9,t,104250,0.0,0,0,2023-01-05
13,DC12,t,7200,0.0,0,0,2023-01-05
14,DC14,DC9,38500,0.08767599631813998,439995,77,2023-01-05
15,DC15,DC9,8100,0.10100506272289697,80194,0,2023-01-05
16,DC15,DC4,5100,0.10268524609772142,50163,51,2023-01-05
17,DC17,DC3,5000,0.09998400255959046,50008,0,2023-01-05
18,DC23,DC3,5300,0.10123197402349346,52355,0,2023-01-05
19,DC25,DC9,12650,0.10037528662218237,126037,1,2023-01-05
20,DC25,DC4,5100,0.10013351134846461,50932,0,2023-01-05
21,DC36,DC3,6100,0.10021356990307212,60870,0,2023-01-05
22,DC44,DC9,12500,0.10043468130066929,124459,0,2023-01-05
23,DC47,DC12,7200,0.10124873439082012,71112,0,2023-01-05
24,DC48,DC9,6300,0.10003493283368796,62978,0,2023-01-05
25,DC51,DC9,26200,0.10026134837393863,261337,2,2023-01-05
26,DC4,t,10200,0.0,0,0,2023-01-05
27,DC8,t,5800,0.0,0,0,2023-01-05
28,DC27,DC8,5800,0.10164382601380954,57062,0,2023-01-05
0,s,DC14,44100,0.0,0,0,2023-01-06
1,s,DC15,7000,0.0,0,0,2023-01-06
2,s,DC17,5000,0.0,0,0,2023-01-06
3,s,DC19,5500,0.0,0,0,2023-01-06
4,s,DC23,5300,0.0,0,0,2023-01-06
5,s,DC25,17750,0.0,0,0,2023-01-06
6,s,DC36,11500,0.0,0,0,2023-01-06
7,s,DC44,12500,0.0,0,0,2023-01-06
8,s,DC47,7200,0.0,0,0,2023-01-06
9,s,DC48,6300,0.0,0,0,2023-01-06
10,s,DC51,26200,0.0,0,0,2023-01-06
11,s,DC27,5800,0.0,0,0,2023-01-06
12,DC3,t,16400,0.0,0,0,2023-01-06
13,DC9,t,108750,0.0,0,0,2023-01-06
14,DC12,t,12700,0.0,0,0,2023-01-06
15,DC14,DC9,44100,0.1004034136751554,439995,77,2023-01-06
16,DC15,DC9,7000,0.08728832580991097,80194,0,2023-01-06
17,DC17,DC3,5000,0.09998400255959046,50008,0,2023-01-06
18,DC19,DC12,5500,0.10058253136356166,54761,8,2023-01-06
19,DC23,DC3,5300,0.10123197402349346,52355,0,2023-01-06
20,DC25,DC9,12650,0.10037528662218237,126037,1,2023-01-06
21,DC25,DC4,5100,0.10013351134846461,50932,0,2023-01-06
22,DC36,DC3,6100,0.10021356990307212,60870,0,2023-01-06
23,DC36,DC8,5400,0.4575295668479976,53861,19243,2023-01-06
24,DC44,DC9,12500,0.10043468130066929,124459,0,2023-01-06
25,DC47,DC12,7200,0.10124873439082012,71112,0,2023-01-06
26,DC48,DC9,6300,0.10003493283368796,62978,0,2023-01-06
27,DC51,DC9,26200,0.10026134837393863,261337,2,2023-01-06
28,DC4,t,5100,0.0,0,0,2023-01-06
29,DC8,t,11200,0.0,0,0,2023-01-06
30,DC27,DC8,5800,0.10164382601380954,57062,0,2023-01-06
0,s,DC14,54000,0.0,0,0,2023-01-07
1,s,DC15,13200,0.0,0,0,2023-01-07
2,s,DC17,5000,0.0,0,0,2023-01-07
3,s,DC19,5500,0.0,0,0,2023-01-07
4,s,DC23,3700,0.0,0,0,2023-01-07
5,s,DC25,12700,0.0,0,0,2023-01-07
6,s,DC36,6100,0.0,0,0,2023-01-07
7,s,DC44,12550,0.0,0,0,2023-01-07
8,s,DC47,7200,0.0,0,0,2023-01-07
9,s,DC48,6300,0.0,0,0,2023-01-07
10,s,DC51,26200,0.0,0,0,2023-01-07
11,s,DC27,5800,0.0,0,0,2023-01-07
12,DC3,t,24700,0.0,0,0,2023-01-07
13,DC9,t,109950,0.0,0,0,2023-01-07
14,DC12,t,12700,0.0,0,0,2023-01-07
15,DC14,DC3,9900,0.10025782316364187,98905,16,2023-01-07
16,DC14,DC9,44100,0.1004034136751554,439995,77,2023-01-07
17,DC15,DC9,8100,0.10100506272289697,80194,0,2023-01-07
18,DC15,DC4,5100,0.10268524609772142,50163,51,2023-01-07
19,DC17,DC3,5000,0.09998400255959046,50008,0,2023-01-07
20,DC19,DC12,5500,0.10058253136356166,54761,8,2023-01-07
21,DC23,DC3,3700,0.0706713780918728,52355,0,2023-01-07
22,DC25,DC9,12700,0.10077199552512357,126037,1,2023-01-07
23,DC36,DC3,6100,0.10021356990307212,60870,0,2023-01-07
24,DC44,DC9,12550,0.10083642002587197,124459,0,2023-01-07
25,DC47,DC12,7200,0.10124873439082012,71112,0,2023-01-07
26,DC48,DC9,6300,0.10003493283368796,62978,0,2023-01-07
27,DC51,DC9,26200,0.10026134837393863,261337,2,2023-01-07
28,DC4,t,5100,0.0,0,0,2023-01-07
29,DC8,t,5800,0.0,0,0,2023-01-07
30,DC27,DC8,5800,0.10164382601380954,57062,0,2023-01-07
0,s,DC14,54000,0.0,0,0,2023-01-08
1,s,DC15,7600,0.0,0,0,2023-01-08
2,s,DC17,5000,0.0,0,0,2023-01-08
3,s,DC23,5300,0.0,0,0,2023-01-08
4,s,DC25,12700,0.0,0,0,2023-01-08
5,s,DC36,11500,0.0,0,0,2023-01-08
6,s,DC44,12500,0.0,0,0,2023-01-08
7,s,DC47,12400,0.0,0,0,2023-01-08
8,s,DC48,6300,0.0,0,0,2023-01-08
9,s,DC51,26250,0.0,0,0,2023-01-08
10,s,DC27,5800,0.0,0,0,2023-01-08
11,DC3,t,26300,0.0,0,0,2023-01-08
12,DC9,t,109450,0.0,0,0,2023-01-08
13,DC12,t,7200,0.0,0,0,2023-01-08
14,DC14,DC3,9900,0.10025782316364187,98905,16,2023-01-08
15,DC14,DC9,44100,0.1004034136751554,439995,77,2023-01-08
16,DC15,DC9,7600,0.09477018230790334,80194,0,2023-01-08
17,DC17,DC3,5000,0.09998400255959046,50008,0,2023-01-08
18,DC23,DC3,5300,0.10123197402349346,52355,0,2023-01-08
19,DC25,DC9,12700,0.10077199552512357,126037,1,2023-01-08
20,DC36,DC3,6100,0.10021356990307212,60870,0,2023-01-08
21,DC36,DC8,5400,0.4575295668479976,53861,19243,2023-01-08
22,DC44,DC9,12500,0.10043468130066929,124459,0,2023-01-08
23,DC47,DC12,7200,0.10124873439082012,71112,0,2023-01-08
24,DC47,DC70,5200,0.10168961201501878,51136,0,2023-01-08
25,DC48,DC9,6300,0.10003493283368796,62978,0,2023-01-08
26,DC51,DC9,26250,0.10045267222016017,261337,2,2023-01-08
27,DC8,t,11200,0.0,0,0,2023-01-08
28,DC70,t,5200,0.0,0,0,2023-01-08
29,DC27,DC8,5800,0.10164382601380954,57062,0,2023-01-08
0,s,DC14,54000,0.0,0,0,2023-01-09
1,s,DC15,8100,0.0,0,0,2023-01-09
2,s,DC17,5100,0.0,0,0,2023-01-09
3,s,DC19,10400,0.0,0,0,2023-01-09
4,s,DC23,5300,0.0,0,0,2023-01-09
5,s,DC25,17750,0.0,0,0,2023-01-09
6,s,DC36,11500,0.0,0,0,2023-01-09
7,s,DC44,12500,0.0,0,0,2023-01-09
8,s,DC46,3400,0.0,0,0,2023-01-09
9,s,DC47,7200,0.0,0,0,2023-01-09
10,s,DC48,6300,0.0,0,0,2023-01-09
11,s,DC51,26200,0.0,0,0,2023-01-09
12,s,DC27,5800,0.0,0,0,2023-01-09
13,DC3,t,31300,0.0,0,0,2023-01-09
14,DC9,t,113250,0.0,0,0,2023-01-09
15,DC12,t,12700,0.0,0,0,2023-01-09
16,DC14,DC3,9900,0.10025782316364187,98905,16,2023-01-09
17,DC14,DC9,44100,0.1004034136751554,439995,77,2023-01-09
18,DC15,DC9,8100,0.10100506272289697,80194,0,2023-01-09
19,DC17,DC3,5100,0.10198368261078228,50008,0,2023-01-09
20,DC19,DC3,4900,0.10168612729950018,48217,3,2023-01-09
21,DC19,DC12,5500,0.10058253136356166,54761,8,2023-01-09
22,DC23,DC3,5300,0.10123197402349346,52355,0,2023-01-09
23,DC25,DC9,12650,0.10037528662218237,126037,1,2023-01-09
24,DC25,DC4,5100,0.10013351134846461,50932,0,2023-01-09
25,DC36,DC3,6100,0.10021356990307212,60870,0,2023-01-09
26,DC36,DC8,5400,0.4575295668479976,53861,19243,2023-01-09
27,DC44,DC9,12500,0.10043468130066929,124459,0,2023-01-09
28,DC46,DC9,3400,0.09103075399480742,37361,1,2023-01-09
29,DC47,DC12,7200,0.10124873439082012,71112,0,2023-01-09
30,DC48,DC9,6300,0.10003493283368796,62978,0,2023-01-09
31,DC51,DC9,26200,0.10026134837393863,261337,2,2023-01-09
32,DC4,t,5100,0.0,0,0,2023-01-09
33,DC8,t,11200,0.0,0,0,2023-01-09
34,DC27,DC8,5800,0.10164382601380954,57062,0,2023-01-09
0,s,DC14,54100,0.0,0,0,2023-01-10
1,s,DC15,8100,0.0,0,0,2023-01-10
2,s,DC17,5100,0.0,0,0,2023-01-10
3,s,DC19,10400,0.0,0,0,2023-01-10
4,s,DC23,5300,0.0,0,0,2023-01-10
5,s,DC25,17800,0.0,0,0,2023-01-10
6,s,DC36,11500,0.0,0,0,2023-01-10
7,s,DC44,12550,0.0,0,0,2023-01-10
8,s,DC46,3800,0.0,0,0,2023-01-10
9,s,DC47,13800,0.0,0,0,2023-01-10
10,s,DC48,6400,0.0,0,0,2023-01-10
11,s,DC51,31200,0.0,0,0,2023-01-10
12,s,DC18,1400,0.0,0,0,2023-01-10
13,s,DC27,5800,0.0,0,0,2023-01-10
14,DC3,t,36400,0.0,0,0,2023-01-10
15,DC9,t,120450,0.0,0,0,2023-01-10
16,DC12,t,12700,0.0,0,0,2023-01-10
17,DC14,DC3,10000,0.10126889439361003,98905,16,2023-01-10
18,DC14,DC9,44100,0.1004034136751554,439995,77,2023-01-10
19,DC15,DC9,8100,0.10100506272289697,80194,0,2023-01-10
20,DC17,DC3,5100,0.10198368261078228,50008,0,2023-01-10
21,DC19,DC3,4900,0.10168612729950018,48217,3,2023-01-10
22,DC19,DC12,5500,0.10058253136356166,54761,8,2023-01-10
23,DC23,DC3,5300,0.10123197402349346,52355,0,2023-01-10
24,DC25,DC9,12700,0.10077199552512357,126037,1,2023-01-10
25,DC25,DC4,5100,0.10013351134846461,50932,0,2023-01-10
26,DC36,DC3,6100,0.10021356990307212,60870,0,2023-01-10
27,DC36,DC8,5400,0.4575295668479976,53861,19243,2023-01-10
28,DC44,DC9,12550,0.10083642002587197,124459,0,2023-01-10
29,DC46,DC9,3800,0.10173710553786033,37361,1,2023-01-10
30,DC47,DC9,6600,0.10113890334629397,65326,7,2023-01-10
31,DC47,DC12,7200,0.10124873439082012,71112,0,2023-01-10
32,DC48,DC9,6400,0.10162278891041317,62978,0,2023-01-10
33,DC51,DC3,5000,0.10072927998710665,49638,0,2023-01-10
34,DC51,DC9,26200,0.10026134837393863,261337,2,2023-01-10
35,DC4,t,6500,0.0,0,0,2023-01-10
36,DC8,t,11200,0.0,0,0,2023-01-10
37,DC18,DC4,1400,0.03198464736926276,43771,0,2023-01-10
38,DC27,DC8,5800,0.10164382601380954,57062,0,2023-01-10
0,s,DC14,54000,0.0,0,0,2023-01-11
1,s,DC15,8100,0.0,0,0,2023-01-11
2,s,DC17,5000,0.0,0,0,2023-01-11
3,s,DC19,5500,0.0,0,0,2023-01-11
4,s,DC20,13100,0.0,0,0,2023-01-11
5,s,DC23,5300,0.0,0,0,2023-01-11
6,s,DC25,17800,0.0,0,0,2023-01-11
7,s,DC36,11500,0.0,0,0,2023-01-11
8,s,DC44,12550,0.0,0,0,2023-01-11
9,s,DC46,900,0.0,0,0,2023-01-11
10,s,DC47,7200,0.0,0,0,2023-01-11
11,s,DC48,6300,0.0,0,0,2023-01-11
12,s,DC51,26200,0.0,0,0,2023-01-11
13,s,DC27,5800,0.0,0,0,2023-01-11
14,DC3,t,26300,0.0,0,0,2023-01-11
15,DC9,t,110850,0.0,0,0,2023-01-11
16,DC10,t,13100,0.0,0,0,2023-01-11
17,DC12,t,12700,0.0,0,0,2023-01-11
18,DC14,DC3,9900,0.10025782316364187,98905,16,2023-01-11
19,DC14,DC9,44100,0.1004034136751554,439995,77,2023-01-11
20,DC15,DC9,8100,0.10100506272289697,80194,0,2023-01-11
21,DC17,DC3,5000,0.09998400255959046,50008,0,2023-01-11
22,DC19,DC12,5500,0.10058253136356166,54761,8,2023-01-11
23,DC20,DC10,13100,0.10034777013466517,130546,0,2023-01-11
24,DC23,DC3,5300,0.10123197402349346,52355,0,2023-01-11
25,DC25,DC9,12700,0.10077199552512357,126037,1,2023-01-11
26,DC25,DC4,5100,0.10013351134846461,50932,0,2023-01-11
27,DC36,DC3,6100,0.10021356990307212,60870,0,2023-01-11
28,DC36,DC8,5400,0.4575295668479976,53861,19243,2023-01-11
29,DC44,DC9,12550,0.10083642002587197,124459,0,2023-01-11
30,DC46,DC9,900,0.024116056850726694,37361,1,2023-01-11
31,DC47,DC12,7200,0.10124873439082012,71112,0,2023-01-11
32,DC48,DC9,6300,0.10003493283368796,62978,0,2023-01-11
33,DC51,DC9,26200,0.10026134837393863,261337,2,2023-01-11
34,DC4,t,5100,0.0,0,0,2023-01-11
35,DC8,t,11200,0.0,0,0,2023-01-11
36,DC27,DC8,5800,0.10164382601380954,57062,0,2023-01-11
0,s,DC14,54000,0.0,0,0,2023-01-12
1,s,DC15,8100,0.0,0,0,2023-01-12
2,s,DC17,5100,0.0,0,0,2023-01-12
3,s,DC19,4900,0.0,0,0,2023-01-12
4,s,DC20,13100,0.0,0,0,2023-01-12
5,s,DC23,5300,0.0,0,0,2023-01-12
6,s,DC25,17750,0.0,0,0,2023-01-12
7,s,DC36,11500,0.0,0,0,2023-01-12
8,s,DC44,12500,0.0,0,0,2023-01-12
9,s,DC46,3800,0.0,0,0,2023-01-12
10,s,DC47,13800,0.0,0,0,2023-01-12
11,s,DC48,6400,0.0,0,0,2023-01-12
12,s,DC51,30200,0.0,0,0,2023-01-12
13,s,DC27,5800,0.0,0,0,2023-01-12
14,DC3,t,35300,0.0,0,0,2023-01-12
15,DC9,t,120350,0.0,0,0,2023-01-12
16,DC10,t,13100,0.0,0,0,2023-01-12
17,DC12,t,7200,0.0,0,0,2023-01-12
18,DC14,DC3,9900,0.10025782316364187,98905,16,2023-01-12
19,DC14,DC9,44100,0.1004034136751554,439995,77,2023-01-12
20,DC15,DC9,8100,0.10100506272289697,80194,0,2023-01-12
21,DC17,DC3,5100,0.10198368261078228,50008,0,2023-01-12
22,DC19,DC3,4900,0.10168612729950018,48217,3,2023-01-12
23,DC20,DC10,13100,0.10034777013466517,130546,0,2023-01-12
24,DC23,DC3,5300,0.10123197402349346,52355,0,2023-01-12
25,DC25,DC9,12650,0.10037528662218237,126037,1,2023-01-12
26,DC25,DC4,5100,0.10013351134846461,50932,0,2023-01-12
27,DC36,DC3,6100,0.10021356990307212,60870,0,2023-01-12
28,DC36,DC8,5400,0.4575295668479976,53861,19243,2023-01-12
29,DC44,DC9,12500,0.10043468130066929,124459,0,2023-01-12
30,DC46,DC9,3800,0.10173710553786033,37361,1,2023-01-12
31,DC47,DC9,6600,0.10113890334629397,65326,7,2023-01-12
32,DC47,DC12,7200,0.10124873439082012,71112,0,2023-01-12
33,DC48,DC9,6400,0.10162278891041317,62978,0,2023-01-12
34,DC51,DC3,4000,0.08058342398968532,49638,0,2023-01-12
35,DC51,DC9,26200,0.10026134837393863,261337,2,2023-01-12
36,DC4,t,5100,0.0,0,0,2023-01-12
37,DC8,t,11200,0.0,0,0,2023-01-12
38,DC27,DC8,5800,0.10164382601380954,57062,0,2023-01-12
0,s,DC14,54000,0.0,0,0,2023-01-13
1,s,DC15,8100,0.0,0,0,2023-01-13
2,s,DC17,5000,0.0,0,0,2023-01-13
3,s,DC19,5500,0.0,0,0,2023-01-13
4,s,DC20,13100,0.0,0,0,2023-01-13
5,s,DC23,5300,0.0,0,0,2023-01-13
6,s,DC25,17800,0.0,0,0,2023-01-13
7,s,DC36,11500,0.0,0,0,2023-01-13
8,s,DC38,10100,0.0,0,0,2023-01-13
9,s,DC44,12550,0.0,0,0,2023-01-13
10,s,DC46,3800,0.0,0,0,2023-01-13
11,s,DC47,13800,0.0,0,0,2023-01-13
12,s,DC48,6400,0.0,0,0,2023-01-13
13,s,DC51,27300,0.0,0,0,2023-01-13
14,s,DC27,5800,0.0,0,0,2023-01-13
15,DC3,t,27400,0.0,0,0,2023-01-13
16,DC9,t,120450,0.0,0,0,2023-01-13
17,DC10,t,13100,0.0,0,0,2023-01-13
18,DC12,t,12700,0.0,0,0,2023-01-13
19,DC14,DC3,9900,0.10025782316364187,98905,16,2023-01-13
20,DC14,DC9,44100,0.1004034136751554,439995,77,2023-01-13
21,DC15,DC9,8100,0.10100506272289697,80194,0,2023-01-13
22,DC17,DC3,5000,0.09998400255959046,50008,0,2023-01-13
23,DC19,DC12,5500,0.10058253136356166,54761,8,2023-01-13
24,DC20,DC10,13100,0.10034777013466517,130546,0,2023-01-13
25,DC23,DC3,5300,0.10123197402349346,52355,0,2023-01-13
26,DC25,DC9,12700,0.10077199552512357,126037,1,2023-01-13
27,DC25,DC4,5100,0.10013351134846461,50932,0,2023-01-13
28,DC36,DC3,6100,0.10021356990307212,60870,0,2023-01-13
29,DC36,DC8,5400,0.4575295668479976,53861,19243,2023-01-13
30,DC38,DC4,10100,0.10054653512657913,100451,0,2023-01-13
31,DC44,DC9,12550,0.10083642002587197,124459,0,2023-01-13
32,DC46,DC9,3800,0.10173710553786033,37361,1,2023-01-13
33,DC47,DC9,6600,0.10113890334629397,65326,7,2023-01-13
34,DC47,DC12,7200,0.10124873439082012,71112,0,2023-01-13
35,DC48,DC9,6400,0.10162278891041317,62978,0,2023-01-13
36,DC51,DC3,1100,0.022160441597163464,49638,0,2023-01-13
37,DC51,DC9,26200,0.10026134837393863,261337,2,2023-01-13
38,DC4,t,15200,0.0,0,0,2023-01-13
39,DC8,t,11200,0.0,0,0,2023-01-13
40,DC27,DC8,5800,0.10164382601380954,57062,0,2023-01-13
0,s,DC14,54100,0.0,0,0,2023-01-14
1,s,DC15,8100,0.0,0,0,2023-01-14
2,s,DC17,5100,0.0,0,0,2023-01-14
3,s,DC19,10400,0.0,0,0,2023-01-14
4,s,DC20,13150,0.0,0,0,2023-01-14
5,s,DC23,5300,0.0,0,0,2023-01-14
6,s,DC25,17800,0.0,0,0,2023-01-14
7,s,DC36,11500,0.0,0,0,2023-01-14
8,s,DC38,10100,0.0,0,0,2023-01-14
9,s,DC44,12500,0.0,0,0,2023-01-14
10,s,DC46,3800,0.0,0,0,2023-01-14
11,s,DC47,12400,0.0,0,0,2023-01-14
12,s,DC48,6300,0.0,0,0,2023-01-14
13,s,DC51,26200,0.0,0,0,2023-01-14
14,s,DC27,5800,0.0,0,0,2023-01-14
15,DC3,t,31400,0.0,0,0,2023-01-14
16,DC9,t,118900,0.0,0,0,2023-01-14
17,DC10,t,13150,0.0,0,0,2023-01-14
18,DC12,t,12700,0.0,0,0,2023-01-14
19,DC14,DC3,10000,0.10126889439361003,98905,16,2023-01-14
20,DC14,DC9,44100,0.1004034136751554,439995,77,2023-01-14
21,DC15,DC9,8100,0.10100506272289697,80194,0,2023-01-14
22,DC17,DC3,5100,0.10198368261078228,50008,0,2023-01-14
23,DC19,DC3,4900,0.10168612729950018,48217,3,2023-01-14
24,DC19,DC12,5500,0.10058253136356166,54761,8,2023-01-14
25,DC20,DC10,13150,0.10073077689090436,130546,0,2023-01-14
26,DC23,DC3,5300,0.10123197402349346,52355,0,2023-01-14
27,DC25,DC9,12700,0.10077199552512357,126037,1,2023-01-14
28,DC25,DC4,5100,0.10013351134846461,50932,0,2023-01-14
29,DC36,DC3,6100,0.10021356990307212,60870,0,2023-01-14
30,DC36,DC8,5400,0.4575295668479976,53861,19243,2023-01-14
31,DC38,DC4,10100,0.10054653512657913,100451,0,2023-01-14
32,DC44,DC9,12500,0.10043468130066929,124459,0,2023-01-14
33,DC46,DC9,3800,0.10173710553786033,37361,1,2023-01-14
34,DC47,DC9,5200,0.07970792639990203,65326,7,2023-01-14
35,DC47,DC12,7200,0.10124873439082012,71112,0,2023-01-14
36,DC48,DC9,6300,0.10003493283368796,62978,0,2023-01-14
37,DC51,DC9,26200,0.10026134837393863,261337,2,2023-01-14
38,DC4,t,15200,0.0,0,0,2023-01-14
39,DC8,t,11200,0.0,0,0,2023-01-14
40,DC27,DC8,5800,0.10164382601380954,57062,0,2023-01-14
0,s,DC14,54100,0.0,0,0,2023-01-15
1,s,DC15,8100,0.0,0,0,2023-01-15
2,s,DC17,5100,0.0,0,0,2023-01-15
3,s,DC19,10400,0.0,0,0,2023-01-15
4,s,DC20,13150,0.0,0,0,2023-01-15
5,s,DC23,5300,0.0,0,0,2023-01-15
6,s,DC25,17800,0.0,0,0,2023-01-15
7,s,DC36,11500,0.0,0,0,2023-01-15
8,s,DC38,10100,0.0,0,0,2023-01-15
9,s,DC44,12500,0.0,0,0,2023-01-15
10,s,DC46,3700,0.0,0,0,2023-01-15
11,s,DC47,12400,0.0,0,0,2023-01-15
12,s,DC48,6300,0.0,0,0,2023-01-15
13,s,DC51,26200,0.0,0,0,2023-01-15
14,s,DC27,5800,0.0,0,0,2023-01-15
15,DC3,t,31400,0.0,0,0,2023-01-15
16,DC9,t,113600,0.0,0,0,2023-01-15
17,DC10,t,13150,0.0,0,0,2023-01-15
18,DC12,t,12700,0.0,0,0,2023-01-15
19,DC14,DC3,10000,0.10126889439361003,98905,16,2023-01-15
20,DC14,DC9,44100,0.1004034136751554,439995,77,2023-01-15
21,DC15,DC9,8100,0.10100506272289697,80194,0,2023-01-15
22,DC17,DC3,5100,0.10198368261078228,50008,0,2023-01-15
23,DC19,DC3,4900,0.10168612729950018,48217,3,2023-01-15
24,DC19,DC12,5500,0.10058253136356166,54761,8,2023-01-15
25,DC20,DC10,13150,0.10073077689090436,130546,0,2023-01-15
26,DC23,DC3,5300,0.10123197402349346,52355,0,2023-01-15
27,DC25,DC9,12700,0.10077199552512357,126037,1,2023-01-15
28,DC25,DC4,5100,0.10013351134846461,50932,0,2023-01-15
29,DC36,DC3,6100,0.10021356990307212,60870,0,2023-01-15
30,DC36,DC8,5400,0.4575295668479976,53861,19243,2023-01-15
31,DC38,DC4,10100,0.10054653512657913,100451,0,2023-01-15
32,DC44,DC9,12500,0.10043468130066929,124459,0,2023-01-15
33,DC46,DC9,3700,0.09906051765209711,37361,1,2023-01-15
34,DC47,DC12,7200,0.10124873439082012,71112,0,2023-01-15
35,DC47,DC70,5200,0.10168961201501878,51136,0,2023-01-15
36,DC48,DC9,6300,0.10003493283368796,62978,0,2023-01-15
37,DC51,DC9,26200,0.10026134837393863,261337,2,2023-01-15
38,DC4,t,15200,0.0,0,0,2023-01-15
